iter	Passed	Remaining
402	10796	2598
403	10818	2570
404	10837	2542
405	10860	2514
406	10881	2486
407	10899	2457
408	10919	2429
409	10941	2401
410	10965	2374
411	10992	2347
412	11018	2321
413	11040	2293
414	11063	2265
415	11083	2237
416	11102	2209
417	11124	2182
418	11145	2154
419	11167	2127
420	11219	2105
421	11252	2079
422	11273	2052
423	11296	2024
424	11316	1997
425	11337	1969
426	11360	1942
427	11385	1915
428	11410	1888
429	11436	1861
430	11461	1834
431	11485	1807
432	11511	1781
433	11535	1754
434	11564	1728
435	11584	1700
436	11605	1673
437	11628	1645
438	11651	1618
439	11671	1591
440	11690	1564
441	11709	1536
442	11731	1509
443	11752	1482
444	11773	1455
445	11799	1428
446	11820	1401
447	11840	1374
448	11865	1347
449	11886	1320
450	11916	1294
451	11947	1268
452	11982	1243
453	12004	1216
454	12026	1189
455	12048	1162
456	12070	1135
457	12097	1109
458	12127	1083
459	12158	1057
460	12188	1031
461	12212	1004
462	12235	977
463	12255	950
464	12280	924
465	12299	897
466	12321	870
467	12342	843
468	12362	817
469	12385	790
470	12412	764
471	12443	738
472	12469	711
473	12495	685
474	12519	658
475	12544	632
476	12565	605
477	12586	579
478	12616	553
479	12635	526
480	12655	499
481	12677	473
482	12697	446
483	12719	420
484	12743	394
485	12762	367
486	12782	341
487	12803	314
488	12824	288
489	12846	262
490	12874	235
491	12895	209
492	12924	183
493	12950	157
494	12976	131
495	12998	104
496	13019	78
497	13042	52
498	13062	26
499	13086	0
