iter	Logloss
379	0.5910764117
380	0.5909905797
381	0.5908947831
382	0.5907973657
383	0.5907304765
384	0.5906179976
385	0.5905269833
386	0.5904578816
387	0.5904238612
388	0.5902799157
389	0.5901737386
390	0.590142464
391	0.5900561255
392	0.5900114367
393	0.5899052277
394	0.5898209791
395	0.589748977
396	0.589713821
397	0.5896424214
398	0.589584196
399	0.5895396938
400	0.5894756144
401	0.5894128785
402	0.5893301227
403	0.5892520214
404	0.5892099878
405	0.5891563847
406	0.5890689906
407	0.5890646241
408	0.5890616278
409	0.58897707
410	0.588901693
411	0.5888328046
412	0.588725284
413	0.5886428908
414	0.5885936862
415	0.5885284925
416	0.5884812073
417	0.588399086
418	0.5883315784
419	0.5882647586
420	0.5881853297
421	0.5880553314
422	0.5879678626
423	0.5878888389
424	0.5878121718
425	0.5877200433
426	0.5876531701
427	0.5875541266
428	0.5875154038
429	0.5874476989
430	0.587376342
431	0.5872936609
432	0.5872481777
433	0.5871851699
434	0.5870566218
435	0.5869800453
436	0.5868735803
437	0.5867939009
438	0.5867031692
439	0.5866351604
440	0.5865678767
441	0.5865629397
442	0.5864592472
443	0.5864231528
444	0.5863531181
445	0.5862562285
446	0.5861867535
447	0.5861217464
448	0.5860305242
449	0.5859927984
450	0.585901491
451	0.585832016
452	0.5857735986
453	0.5857113106
454	0.5856425021
455	0.5855269735
456	0.5854523324
457	0.585349978
458	0.5852228854
459	0.5851511392
460	0.58505892
461	0.58502185
462	0.5849624197
463	0.5849047913
464	0.5848526491
465	0.5848376836
466	0.5847747504
467	0.5847158692
468	0.5846477165
469	0.5845565903
470	0.5845104087
471	0.5844512929
472	0.5843656261
473	0.5843140651
474	0.5842623441
475	0.5841509368
476	0.5840611541
477	0.5840258915
478	0.583937495
479	0.583934712
480	0.5838802932
481	0.5837927604
482	0.5837508494
483	0.58369256
484	0.5836445977
485	0.5836425824
486	0.5835637613
487	0.5835264247
488	0.583483506
489	0.5833704833
490	0.5833133615
491	0.5832563463
492	0.5831874845
493	0.5830982136
494	0.5830467485
495	0.5829461002
496	0.5828841267
497	0.582774047
498	0.5827464084
499	0.5826596167
